Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/mixdata/0.25/epoch_5/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
|  - college_medicine                   |      1|none  |     0|acc        |↑  | 0.2081|±  |0.0310|
|  - global_facts                       |      1|none  |     0|acc        |↑  | 0.1800|±  |0.0386|
|  - human_aging                        |      1|none  |     0|acc        |↑  | 0.3184|±  |0.0313|
|  - management                         |      1|none  |     0|acc        |↑  | 0.1748|±  |0.0376|
|  - marketing                          |      1|none  |     0|acc        |↑  | 0.2906|±  |0.0297|
|  - medical_genetics                   |      1|none  |     0|acc        |↑  | 0.3000|±  |0.0461|
|  - miscellaneous                      |      1|none  |     0|acc        |↑  | 0.2337|±  |0.0151|
|  - nutrition                          |      1|none  |     0|acc        |↑  | 0.2124|±  |0.0234|
|  - professional_accounting            |      1|none  |     0|acc        |↑  | 0.2305|±  |0.0251|
|  - professional_medicine              |      1|none  |     0|acc        |↑  | 0.1875|±  |0.0237|
|  - virology                           |      1|none  |     0|acc        |↑  | 0.2831|±  |0.0351|
| - social sciences                     |      2|none  |      |acc        |↑  | 0.2174|±  |0.0074|
|  - econometrics                       |      1|none  |     0|acc        |↑  | 0.2456|±  |0.0405|
|  - high_school_geography              |      1|none  |     0|acc        |↑  | 0.1818|±  |0.0275|
|  - high_school_government_and_politics|      1|none  |     0|acc        |↑  | 0.1969|±  |0.0287|
|  - high_school_macroeconomics         |      1|none  |     0|acc        |↑  | 0.2026|±  |0.0204|
|  - high_school_microeconomics         |      1|none  |     0|acc        |↑  | 0.2101|±  |0.0265|
|  - high_school_psychology             |      1|none  |     0|acc        |↑  | 0.1908|±  |0.0168|
|  - human_sexuality                    |      1|none  |     0|acc        |↑  | 0.2595|±  |0.0384|
|  - professional_psychology            |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0175|
|  - public_relations                   |      1|none  |     0|acc        |↑  | 0.2182|±  |0.0396|
|  - security_studies                   |      1|none  |     0|acc        |↑  | 0.1878|±  |0.0250|
|  - sociology                          |      1|none  |     0|acc        |↑  | 0.2438|±  |0.0304|
|  - us_foreign_policy                  |      1|none  |     0|acc        |↑  | 0.2800|±  |0.0451|
| - stem                                |      2|none  |      |acc        |↑  | 0.2138|±  |0.0073|
|  - abstract_algebra                   |      1|none  |     0|acc        |↑  | 0.2100|±  |0.0409|
|  - anatomy                            |      1|none  |     0|acc        |↑  | 0.1926|±  |0.0341|
|  - astronomy                          |      1|none  |     0|acc        |↑  | 0.1776|±  |0.0311|
|  - college_biology                    |      1|none  |     0|acc        |↑  | 0.2569|±  |0.0365|
|  - college_chemistry                  |      1|none  |     0|acc        |↑  | 0.2000|±  |0.0402|
|  - college_computer_science           |      1|none  |     0|acc        |↑  | 0.2600|±  |0.0441|
|  - college_mathematics                |      1|none  |     0|acc        |↑  | 0.2200|±  |0.0416|
|  - college_physics                    |      1|none  |     0|acc        |↑  | 0.2255|±  |0.0416|
|  - computer_security                  |      1|none  |     0|acc        |↑  | 0.2900|±  |0.0456|
|  - conceptual_physics                 |      1|none  |     0|acc        |↑  | 0.2638|±  |0.0288|
|  - electrical_engineering             |      1|none  |     0|acc        |↑  | 0.2414|±  |0.0357|
|  - elementary_mathematics             |      1|none  |     0|acc        |↑  | 0.2090|±  |0.0209|
|  - high_school_biology                |      1|none  |     0|acc        |↑  | 0.1774|±  |0.0217|
|  - high_school_chemistry              |      1|none  |     0|acc        |↑  | 0.1576|±  |0.0256|
|  - high_school_computer_science       |      1|none  |     0|acc        |↑  | 0.2600|±  |0.0441|
|  - high_school_mathematics            |      1|none  |     0|acc        |↑  | 0.2074|±  |0.0247|
|  - high_school_physics                |      1|none  |     0|acc        |↑  | 0.1921|±  |0.0322|
|  - high_school_statistics             |      1|none  |     0|acc        |↑  | 0.1528|±  |0.0245|
|  - machine_learning                   |      1|none  |     0|acc        |↑  | 0.3214|±  |0.0443|
|openbookqa                             |      1|none  |     0|acc        |↑  | 0.1540|±  |0.0162|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2860|±  |0.0202|
|piqa                                   |      1|none  |     0|acc        |↑  | 0.6393|±  |0.0112|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6382|±  |0.0112|
|pubmedqa                               |      1|none  |     0|acc        |↑  | 0.5420|±  |0.0223|
|sciq                                   |      1|none  |     0|acc        |↑  | 0.7160|±  |0.0143|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6270|±  |0.0153|
|truthfulqa_gen                         |      3|none  |     0|bleu_acc   |↑  | 0.2791|±  |0.0157|
|                                       |       |none  |     0|bleu_diff  |↑  |-1.8820|±  |0.3975|
|                                       |       |none  |     0|bleu_max   |↑  |11.8859|±  |0.4751|
|                                       |       |none  |     0|rouge1_acc |↑  | 0.2950|±  |0.0160|
|                                       |       |none  |     0|rouge1_diff|↑  |-3.7248|±  |0.5482|
|                                       |       |none  |     0|rouge1_max |↑  |31.7147|±  |0.7458|
|                                       |       |none  |     0|rouge2_acc |↑  | 0.1812|±  |0.0135|
|                                       |       |none  |     0|rouge2_diff|↑  |-3.1761|±  |0.5574|
|                                       |       |none  |     0|rouge2_max |↑  |15.1767|±  |0.7169|
|                                       |       |none  |     0|rougeL_acc |↑  | 0.3060|±  |0.0161|
|                                       |       |none  |     0|rougeL_diff|↑  |-3.2054|±  |0.5270|
|                                       |       |none  |     0|rougeL_max |↑  |29.1073|±  |0.7262|
|truthfulqa_mc1                         |      2|none  |     0|acc        |↑  | 0.2485|±  |0.0151|
|truthfulqa_mc2                         |      2|none  |     0|acc        |↑  | 0.4294|±  |0.0153|
|winogrande                             |      1|none  |     0|acc        |↑  | 0.5012|±  |0.0141|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2297|±  |0.0035|
| - humanities     |      2|none  |      |acc   |↑  |0.2429|±  |0.0062|
| - other          |      2|none  |      |acc   |↑  |0.2382|±  |0.0076|
| - social sciences|      2|none  |      |acc   |↑  |0.2174|±  |0.0074|
| - stem           |      2|none  |      |acc   |↑  |0.2138|±  |0.0073|

