Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/mixdata/0.5/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
| - other                               |      2|none  |      |acc        |↑  | 0.2356|±  |0.0076|
|  - business_ethics                    |      1|none  |     0|acc        |↑  | 0.3000|±  |0.0461|
|  - clinical_knowledge                 |      1|none  |     0|acc        |↑  | 0.2038|±  |0.0248|
|  - college_medicine                   |      1|none  |     0|acc        |↑  | 0.2139|±  |0.0313|
|  - global_facts                       |      1|none  |     0|acc        |↑  | 0.1800|±  |0.0386|
|  - human_aging                        |      1|none  |     0|acc        |↑  | 0.3139|±  |0.0311|
|  - management                         |      1|none  |     0|acc        |↑  | 0.1748|±  |0.0376|
|  - marketing                          |      1|none  |     0|acc        |↑  | 0.2906|±  |0.0297|
|  - medical_genetics                   |      1|none  |     0|acc        |↑  | 0.3100|±  |0.0465|
|  - miscellaneous                      |      1|none  |     0|acc        |↑  | 0.2286|±  |0.0150|
|  - nutrition                          |      1|none  |     0|acc        |↑  | 0.2092|±  |0.0233|
|  - professional_accounting            |      1|none  |     0|acc        |↑  | 0.2305|±  |0.0251|
|  - professional_medicine              |      1|none  |     0|acc        |↑  | 0.1912|±  |0.0239|
|  - virology                           |      1|none  |     0|acc        |↑  | 0.2771|±  |0.0348|
| - social sciences                     |      2|none  |      |acc        |↑  | 0.2168|±  |0.0074|
|  - econometrics                       |      1|none  |     0|acc        |↑  | 0.2456|±  |0.0405|
|  - high_school_geography              |      1|none  |     0|acc        |↑  | 0.1768|±  |0.0272|
|  - high_school_government_and_politics|      1|none  |     0|acc        |↑  | 0.1969|±  |0.0287|
|  - high_school_macroeconomics         |      1|none  |     0|acc        |↑  | 0.2026|±  |0.0204|
|  - high_school_microeconomics         |      1|none  |     0|acc        |↑  | 0.2101|±  |0.0265|
|  - high_school_psychology             |      1|none  |     0|acc        |↑  | 0.1908|±  |0.0168|
|  - human_sexuality                    |      1|none  |     0|acc        |↑  | 0.2595|±  |0.0384|
|  - professional_psychology            |      1|none  |     0|acc        |↑  | 0.2484|±  |0.0175|
|  - public_relations                   |      1|none  |     0|acc        |↑  | 0.2182|±  |0.0396|
|  - security_studies                   |      1|none  |     0|acc        |↑  | 0.1878|±  |0.0250|
|  - sociology                          |      1|none  |     0|acc        |↑  | 0.2438|±  |0.0304|
|  - us_foreign_policy                  |      1|none  |     0|acc        |↑  | 0.2800|±  |0.0451|
| - stem                                |      2|none  |      |acc        |↑  | 0.2150|±  |0.0073|
|  - abstract_algebra                   |      1|none  |     0|acc        |↑  | 0.2100|±  |0.0409|
|  - anatomy                            |      1|none  |     0|acc        |↑  | 0.2000|±  |0.0346|
|  - astronomy                          |      1|none  |     0|acc        |↑  | 0.1776|±  |0.0311|
|  - college_biology                    |      1|none  |     0|acc        |↑  | 0.2639|±  |0.0369|
|  - college_chemistry                  |      1|none  |     0|acc        |↑  | 0.2000|±  |0.0402|
|  - college_computer_science           |      1|none  |     0|acc        |↑  | 0.2700|±  |0.0446|
|  - college_mathematics                |      1|none  |     0|acc        |↑  | 0.2100|±  |0.0409|
|  - college_physics                    |      1|none  |     0|acc        |↑  | 0.2157|±  |0.0409|
|  - computer_security                  |      1|none  |     0|acc        |↑  | 0.2800|±  |0.0451|
|  - conceptual_physics                 |      1|none  |     0|acc        |↑  | 0.2638|±  |0.0288|
|  - electrical_engineering             |      1|none  |     0|acc        |↑  | 0.2414|±  |0.0357|
|  - elementary_mathematics             |      1|none  |     0|acc        |↑  | 0.2143|±  |0.0211|
|  - high_school_biology                |      1|none  |     0|acc        |↑  | 0.1839|±  |0.0220|
|  - high_school_chemistry              |      1|none  |     0|acc        |↑  | 0.1576|±  |0.0256|
|  - high_school_computer_science       |      1|none  |     0|acc        |↑  | 0.2700|±  |0.0446|
|  - high_school_mathematics            |      1|none  |     0|acc        |↑  | 0.2074|±  |0.0247|
|  - high_school_physics                |      1|none  |     0|acc        |↑  | 0.1987|±  |0.0326|
|  - high_school_statistics             |      1|none  |     0|acc        |↑  | 0.1528|±  |0.0245|
|  - machine_learning                   |      1|none  |     0|acc        |↑  | 0.3036|±  |0.0436|
|openbookqa                             |      1|none  |     0|acc        |↑  | 0.1600|±  |0.0164|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2900|±  |0.0203|
|piqa                                   |      1|none  |     0|acc        |↑  | 0.6333|±  |0.0112|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6355|±  |0.0112|
|pubmedqa                               |      1|none  |     0|acc        |↑  | 0.4780|±  |0.0224|
|sciq                                   |      1|none  |     0|acc        |↑  | 0.7120|±  |0.0143|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6230|±  |0.0153|
|truthfulqa_gen                         |      3|none  |     0|bleu_acc   |↑  | 0.3084|±  |0.0162|
|                                       |       |none  |     0|bleu_diff  |↑  |-1.6304|±  |0.3736|
|                                       |       |none  |     0|bleu_max   |↑  |12.6407|±  |0.5095|
|                                       |       |none  |     0|rouge1_acc |↑  | 0.3244|±  |0.0164|
|                                       |       |none  |     0|rouge1_diff|↑  |-3.2664|±  |0.5515|
|                                       |       |none  |     0|rouge1_max |↑  |33.0325|±  |0.7829|
|                                       |       |none  |     0|rouge2_acc |↑  | 0.1958|±  |0.0139|
|                                       |       |none  |     0|rouge2_diff|↑  |-2.8864|±  |0.5385|
|                                       |       |none  |     0|rouge2_max |↑  |16.7053|±  |0.7420|
|                                       |       |none  |     0|rougeL_acc |↑  | 0.3244|±  |0.0164|
|                                       |       |none  |     0|rougeL_diff|↑  |-3.0434|±  |0.5320|
|                                       |       |none  |     0|rougeL_max |↑  |30.4455|±  |0.7577|
|truthfulqa_mc1                         |      2|none  |     0|acc        |↑  | 0.2424|±  |0.0150|
|truthfulqa_mc2                         |      2|none  |     0|acc        |↑  | 0.4375|±  |0.0154|
|winogrande                             |      1|none  |     0|acc        |↑  | 0.5241|±  |0.0140|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2292|±  |0.0035|
| - humanities     |      2|none  |      |acc   |↑  |0.2425|±  |0.0062|
| - other          |      2|none  |      |acc   |↑  |0.2356|±  |0.0076|
| - social sciences|      2|none  |      |acc   |↑  |0.2168|±  |0.0074|
| - stem           |      2|none  |      |acc   |↑  |0.2150|±  |0.0073|

