Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/dolma/epoch_5/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
|  - moral_scenarios                    |      1|none  |     0|acc        |↑  | 0.2380|±  |0.0142|
|  - philosophy                         |      1|none  |     0|acc        |↑  | 0.1865|±  |0.0221|
|  - prehistory                         |      1|none  |     0|acc        |↑  | 0.2160|±  |0.0229|
|  - professional_law                   |      1|none  |     0|acc        |↑  | 0.2458|±  |0.0110|
|  - world_religions                    |      1|none  |     0|acc        |↑  | 0.3158|±  |0.0357|
| - other                               |      2|none  |      |acc        |↑  | 0.2382|±  |0.0076|
|  - business_ethics                    |      1|none  |     0|acc        |↑  | 0.3000|±  |0.0461|
|  - clinical_knowledge                 |      1|none  |     0|acc        |↑  | 0.2151|±  |0.0253|
|  - college_medicine                   |      1|none  |     0|acc        |↑  | 0.2081|±  |0.0310|
|  - global_facts                       |      1|none  |     0|acc        |↑  | 0.1800|±  |0.0386|
|  - human_aging                        |      1|none  |     0|acc        |↑  | 0.3184|±  |0.0313|
|  - management                         |      1|none  |     0|acc        |↑  | 0.1748|±  |0.0376|
|  - marketing                          |      1|none  |     0|acc        |↑  | 0.2906|±  |0.0297|
|  - medical_genetics                   |      1|none  |     0|acc        |↑  | 0.3000|±  |0.0461|
|  - miscellaneous                      |      1|none  |     0|acc        |↑  | 0.2350|±  |0.0152|
|  - nutrition                          |      1|none  |     0|acc        |↑  | 0.2190|±  |0.0237|
|  - professional_accounting            |      1|none  |     0|acc        |↑  | 0.2305|±  |0.0251|
|  - professional_medicine              |      1|none  |     0|acc        |↑  | 0.1801|±  |0.0233|
|  - virology                           |      1|none  |     0|acc        |↑  | 0.2831|±  |0.0351|
| - social sciences                     |      2|none  |      |acc        |↑  | 0.2168|±  |0.0074|
|  - econometrics                       |      1|none  |     0|acc        |↑  | 0.2368|±  |0.0400|
|  - high_school_geography              |      1|none  |     0|acc        |↑  | 0.1768|±  |0.0272|
|  - high_school_government_and_politics|      1|none  |     0|acc        |↑  | 0.1969|±  |0.0287|
|  - high_school_macroeconomics         |      1|none  |     0|acc        |↑  | 0.2026|±  |0.0204|
|  - high_school_microeconomics         |      1|none  |     0|acc        |↑  | 0.2101|±  |0.0265|
|  - high_school_psychology             |      1|none  |     0|acc        |↑  | 0.1908|±  |0.0168|
|  - human_sexuality                    |      1|none  |     0|acc        |↑  | 0.2595|±  |0.0384|
|  - professional_psychology            |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0175|
|  - public_relations                   |      1|none  |     0|acc        |↑  | 0.2182|±  |0.0396|
|  - security_studies                   |      1|none  |     0|acc        |↑  | 0.1878|±  |0.0250|
|  - sociology                          |      1|none  |     0|acc        |↑  | 0.2438|±  |0.0304|
|  - us_foreign_policy                  |      1|none  |     0|acc        |↑  | 0.2800|±  |0.0451|
| - stem                                |      2|none  |      |acc        |↑  | 0.2125|±  |0.0073|
|  - abstract_algebra                   |      1|none  |     0|acc        |↑  | 0.2100|±  |0.0409|
|  - anatomy                            |      1|none  |     0|acc        |↑  | 0.1926|±  |0.0341|
|  - astronomy                          |      1|none  |     0|acc        |↑  | 0.1776|±  |0.0311|
|  - college_biology                    |      1|none  |     0|acc        |↑  | 0.2569|±  |0.0365|
|  - college_chemistry                  |      1|none  |     0|acc        |↑  | 0.1900|±  |0.0394|
|  - college_computer_science           |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0435|
|  - college_mathematics                |      1|none  |     0|acc        |↑  | 0.2100|±  |0.0409|
|  - college_physics                    |      1|none  |     0|acc        |↑  | 0.2157|±  |0.0409|
|  - computer_security                  |      1|none  |     0|acc        |↑  | 0.2900|±  |0.0456|
|  - conceptual_physics                 |      1|none  |     0|acc        |↑  | 0.2638|±  |0.0288|
|  - electrical_engineering             |      1|none  |     0|acc        |↑  | 0.2414|±  |0.0357|
|  - elementary_mathematics             |      1|none  |     0|acc        |↑  | 0.2090|±  |0.0209|
|  - high_school_biology                |      1|none  |     0|acc        |↑  | 0.1774|±  |0.0217|
|  - high_school_chemistry              |      1|none  |     0|acc        |↑  | 0.1576|±  |0.0256|
|  - high_school_computer_science       |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0435|
|  - high_school_mathematics            |      1|none  |     0|acc        |↑  | 0.2111|±  |0.0249|
|  - high_school_physics                |      1|none  |     0|acc        |↑  | 0.1921|±  |0.0322|
|  - high_school_statistics             |      1|none  |     0|acc        |↑  | 0.1528|±  |0.0245|
|  - machine_learning                   |      1|none  |     0|acc        |↑  | 0.3214|±  |0.0443|
|openbookqa                             |      1|none  |     0|acc        |↑  | 0.1500|±  |0.0160|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2740|±  |0.0200|
|piqa                                   |      1|none  |     0|acc        |↑  | 0.6442|±  |0.0112|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6431|±  |0.0112|
|pubmedqa                               |      1|none  |     0|acc        |↑  | 0.4240|±  |0.0221|
|sciq                                   |      1|none  |     0|acc        |↑  | 0.7170|±  |0.0143|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6520|±  |0.0151|
|truthfulqa_gen                         |      3|none  |     0|bleu_acc   |↑  | 0.3268|±  |0.0164|
|                                       |       |none  |     0|bleu_diff  |↑  |-2.1111|±  |0.4517|
|                                       |       |none  |     0|bleu_max   |↑  |14.7685|±  |0.5343|
|                                       |       |none  |     0|rouge1_acc |↑  | 0.3048|±  |0.0161|
|                                       |       |none  |     0|rouge1_diff|↑  |-3.6672|±  |0.6091|
|                                       |       |none  |     0|rouge1_max |↑  |36.4299|±  |0.7682|
|                                       |       |none  |     0|rouge2_acc |↑  | 0.2044|±  |0.0141|
|                                       |       |none  |     0|rouge2_diff|↑  |-3.9201|±  |0.6170|
|                                       |       |none  |     0|rouge2_max |↑  |19.1277|±  |0.7733|
|                                       |       |none  |     0|rougeL_acc |↑  | 0.3146|±  |0.0163|
|                                       |       |none  |     0|rougeL_diff|↑  |-3.3806|±  |0.5965|
|                                       |       |none  |     0|rougeL_max |↑  |33.6680|±  |0.7516|
|truthfulqa_mc1                         |      2|none  |     0|acc        |↑  | 0.2387|±  |0.0149|
|truthfulqa_mc2                         |      2|none  |     0|acc        |↑  | 0.4285|±  |0.0152|
|winogrande                             |      1|none  |     0|acc        |↑  | 0.5130|±  |0.0140|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2289|±  |0.0035|
| - humanities     |      2|none  |      |acc   |↑  |0.2417|±  |0.0062|
| - other          |      2|none  |      |acc   |↑  |0.2382|±  |0.0076|
| - social sciences|      2|none  |      |acc   |↑  |0.2168|±  |0.0074|
| - stem           |      2|none  |      |acc   |↑  |0.2125|±  |0.0073|

