Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/mixdata/0.75/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
|  - nutrition                          |      1|none  |     0|acc        |↑  | 0.2190|±  |0.0237|
|  - professional_accounting            |      1|none  |     0|acc        |↑  | 0.2305|±  |0.0251|
|  - professional_medicine              |      1|none  |     0|acc        |↑  | 0.1912|±  |0.0239|
|  - virology                           |      1|none  |     0|acc        |↑  | 0.2831|±  |0.0351|
| - social sciences                     |      2|none  |      |acc        |↑  | 0.2168|±  |0.0074|
|  - econometrics                       |      1|none  |     0|acc        |↑  | 0.2281|±  |0.0395|
|  - high_school_geography              |      1|none  |     0|acc        |↑  | 0.1768|±  |0.0272|
|  - high_school_government_and_politics|      1|none  |     0|acc        |↑  | 0.1969|±  |0.0287|
|  - high_school_macroeconomics         |      1|none  |     0|acc        |↑  | 0.2051|±  |0.0205|
|  - high_school_microeconomics         |      1|none  |     0|acc        |↑  | 0.2101|±  |0.0265|
|  - high_school_psychology             |      1|none  |     0|acc        |↑  | 0.1908|±  |0.0168|
|  - human_sexuality                    |      1|none  |     0|acc        |↑  | 0.2595|±  |0.0384|
|  - professional_psychology            |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0175|
|  - public_relations                   |      1|none  |     0|acc        |↑  | 0.2182|±  |0.0396|
|  - security_studies                   |      1|none  |     0|acc        |↑  | 0.1878|±  |0.0250|
|  - sociology                          |      1|none  |     0|acc        |↑  | 0.2488|±  |0.0306|
|  - us_foreign_policy                  |      1|none  |     0|acc        |↑  | 0.2700|±  |0.0446|
| - stem                                |      2|none  |      |acc        |↑  | 0.2134|±  |0.0073|
|  - abstract_algebra                   |      1|none  |     0|acc        |↑  | 0.2200|±  |0.0416|
|  - anatomy                            |      1|none  |     0|acc        |↑  | 0.2000|±  |0.0346|
|  - astronomy                          |      1|none  |     0|acc        |↑  | 0.1776|±  |0.0311|
|  - college_biology                    |      1|none  |     0|acc        |↑  | 0.2639|±  |0.0369|
|  - college_chemistry                  |      1|none  |     0|acc        |↑  | 0.1900|±  |0.0394|
|  - college_computer_science           |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0435|
|  - college_mathematics                |      1|none  |     0|acc        |↑  | 0.2200|±  |0.0416|
|  - college_physics                    |      1|none  |     0|acc        |↑  | 0.2255|±  |0.0416|
|  - computer_security                  |      1|none  |     0|acc        |↑  | 0.2900|±  |0.0456|
|  - conceptual_physics                 |      1|none  |     0|acc        |↑  | 0.2553|±  |0.0285|
|  - electrical_engineering             |      1|none  |     0|acc        |↑  | 0.2483|±  |0.0360|
|  - elementary_mathematics             |      1|none  |     0|acc        |↑  | 0.2063|±  |0.0208|
|  - high_school_biology                |      1|none  |     0|acc        |↑  | 0.1806|±  |0.0219|
|  - high_school_chemistry              |      1|none  |     0|acc        |↑  | 0.1576|±  |0.0256|
|  - high_school_computer_science       |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0435|
|  - high_school_mathematics            |      1|none  |     0|acc        |↑  | 0.2111|±  |0.0249|
|  - high_school_physics                |      1|none  |     0|acc        |↑  | 0.1921|±  |0.0322|
|  - high_school_statistics             |      1|none  |     0|acc        |↑  | 0.1528|±  |0.0245|
|  - machine_learning                   |      1|none  |     0|acc        |↑  | 0.3125|±  |0.0440|
|openbookqa                             |      1|none  |     0|acc        |↑  | 0.1720|±  |0.0169|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2940|±  |0.0204|
|piqa                                   |      1|none  |     0|acc        |↑  | 0.6344|±  |0.0112|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6208|±  |0.0113|
|pubmedqa                               |      1|none  |     0|acc        |↑  | 0.5060|±  |0.0224|
|sciq                                   |      1|none  |     0|acc        |↑  | 0.6950|±  |0.0146|
|                                       |       |none  |     0|acc_norm   |↑  | 0.6110|±  |0.0154|
|truthfulqa_gen                         |      3|none  |     0|bleu_acc   |↑  | 0.2950|±  |0.0160|
|                                       |       |none  |     0|bleu_diff  |↑  |-1.4810|±  |0.2697|
|                                       |       |none  |     0|bleu_max   |↑  | 9.4395|±  |0.3887|
|                                       |       |none  |     0|rouge1_acc |↑  | 0.3109|±  |0.0162|
|                                       |       |none  |     0|rouge1_diff|↑  |-3.1365|±  |0.4704|
|                                       |       |none  |     0|rouge1_max |↑  |27.9537|±  |0.6632|
|                                       |       |none  |     0|rouge2_acc |↑  | 0.1799|±  |0.0134|
|                                       |       |none  |     0|rouge2_diff|↑  |-3.0093|±  |0.4284|
|                                       |       |none  |     0|rouge2_max |↑  |11.8889|±  |0.5921|
|                                       |       |none  |     0|rougeL_acc |↑  | 0.3195|±  |0.0163|
|                                       |       |none  |     0|rougeL_diff|↑  |-2.8632|±  |0.4320|
|                                       |       |none  |     0|rougeL_max |↑  |25.5117|±  |0.6307|
|truthfulqa_mc1                         |      2|none  |     0|acc        |↑  | 0.2362|±  |0.0149|
|truthfulqa_mc2                         |      2|none  |     0|acc        |↑  | 0.4262|±  |0.0152|
|winogrande                             |      1|none  |     0|acc        |↑  | 0.4980|±  |0.0141|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2295|±  |0.0035|
| - humanities     |      2|none  |      |acc   |↑  |0.2421|±  |0.0062|
| - other          |      2|none  |      |acc   |↑  |0.2391|±  |0.0076|
| - social sciences|      2|none  |      |acc   |↑  |0.2168|±  |0.0074|
| - stem           |      2|none  |      |acc   |↑  |0.2134|±  |0.0073|

